nazwa,jednostka,wartosc,niepewnosc
cz_d,cm,28.4,0.05773502691896258
cz_s,cm,4.9,0.05773502691896258
cz_1,cm,13.5,0.05773502691896258
cz_3,cm,11.5,0.05773502691896258
cz_5,cm,9.5,0.05773502691896258
cz_7,cm,7.5,0.05773502691896258
cz_9,cm,5.4,0.05773502691896258
b_d,cm,32.980000000000004,0.07615319857585369
b_s,cm,3.8200000000000003,0.07615319857585326
b_1,cm,16.0,0.05773502691896258
b_3,cm,13.0,0.05773502691896258
b_5,cm,10.0,0.05773502691896258
b_7,cm,7.0,0.05773502691896258
b_9,cm,4.0,0.05773502691896258
Tcz1,s,0.8684000000000001,0.006732524363812828
Tcz1x10,s,8.684000000000001,0.06732524363812828
Tcz3,s,0.8343,0.00289481457045756
Tcz3x10,s,8.343,0.0289481457045756
Tcz5,s,0.8199,0.0032410702783699993
Tcz5x10,s,8.199,0.03241070278369999
Tcz7,s,0.8139999999999998,0.0011515772372417588
Tcz7x10,s,8.139999999999999,0.011515772372417587
Tcz9,s,0.8507999999999999,0.004110131866173326
Tcz9x10,s,8.508,0.04110131866173326
Tb1,s,0.9294999999999998,0.0024731305451458317
Tb1x10,s,9.294999999999998,0.024731305451458317
Tb3,s,0.8839,0.002416276389267882
Tb3x10,s,8.839,0.02416276389267882
Tb5,s,0.8674000000000002,0.0037355729720262793
Tb5x10,s,8.674000000000001,0.03735572972026279
Tb7,s,0.8817,0.003045237021535983
Tb7x10,s,8.817,0.030452370215359834
Tb9,s,1.0291000000000001,0.004520232798134773
Tb9x10,s,10.291,0.045202327981347726
cz_d,m,0.284,0.0005773502691896258
cz_s,m,0.049,0.0005773502691896258
cz_1,m,0.135,0.0005773502691896258
cz_3,m,0.115,0.0005773502691896258
cz_5,m,0.095,0.0005773502691896258
cz_7,m,0.075,0.0005773502691896258
cz_9,m,0.054000000000000006,0.0005773502691896258
b_d,m,0.32980000000000004,0.0007615319857585369
b_s,m,0.038200000000000005,0.0007615319857585326
b_1,m,0.16,0.0005773502691896258
b_3,m,0.13,0.0005773502691896258
b_5,m,0.1,0.0005773502691896258
b_7,m,0.07,0.0005773502691896258
b_9,m,0.04,0.0005773502691896258
g_cz1,,9.75129838921644,0.152736265031626
g_b1,,9.93437495827827,0.0567949616374763
g_cz3,,9.93608323492916,0.0720068117867849
g_b3,,10.1393720242441,0.0593183489430876
g_cz5,,9.85774242653030,0.0801890145877798
g_b5,,10.0669158338983,0.0895177209480183
g_cz7,,9.96711272238160,0.0366539413922192
g_b7,,10.2186981775465,0.0810843927841665
g_cz9,,9.93555383489318,0.108950905951045
g_b9,,10.0514604284349,0.140536495426857
srednie_g,,9.98586120303527,0.0298731281990536
