nazwa,jednostka,wartosc,niepewnosc
Kat0_1,st,357.66,0.18
KatBr_1,st,300.84,0.24
Kat0_2,st,359.04,0.79
KatBr_2,st,298.72,0.39
Kat0_3,st,358.80,0.64
KatBr_3,st,302.50,0.79
Kat0_4,st,356.72,0.27
KatBr_4,st,300.5,1.4
k¹tb1,,56.82,0.30
k¹tb2,,60.32,0.88
k¹tb3,,56.3,1.0
k¹tb4,,56.2,1.4
k¹tb1,rad,0.9917,0.0052
k¹tb2,rad,1.053,0.015
k¹tb3,rad,0.983,0.018
k¹tb4,rad,0.982,0.024
wsp1,,1.529,0.017
wsp2,,1.755,0.063
wsp3,,1.499,0.057
wsp4,,1.496,0.078
