nazwa,jednostka,dokladnosc,powtorzenia,pomiary,,,,
Kat0_1,st,0.1,1,357.5,357.8,357.7,357.5,357.8
KatBr_1,st,0.1,1,300.5,300.9,301,300.8,301
Kat0_2,st,0.1,1,358,359.5,359.8,359.2,358.7
KatBr_2,st,0.1,1,298.3,298.7,298.9,298.5,299.2
Kat0_3,st,0.1,1,359,359.1,359.2,357.8,358.9
KatBr_3,st,0.1,1,302.6,303.2,302.3,303,301.4
Kat0_4,st,0.1,1,357,356.6,356.7,356.4,356.9
KatBr_4,st,0.1,1,301,300,298.9,300.3,302.2
